rasoio usa e getta,secco indifferenziato
recipiente di plastica,secco indifferenziato
rete in plastica,secco indifferenziato
rete metallica e a doghe,legno e ferro
righello,secco indifferenziato
rivista,carta e cartone
rubinetteria,legno e ferro
rullino fotografico,secco indifferenziato
,
"sacchetto alimenti (e.g. pasta o riso) ",secco indifferenziato
sacchetto aspirapolvere,secco indifferenziato
sacchetto in carta plastificata,secco indifferenziato
sacchetto in plastica,secco indifferenziato
salvietta umidificata,secco indifferenziato
sanitari,ingombranti e/o piazzola ecologica
sapone e saponetta,secco indifferenziato
scaffale (in legno/ferro),legno e ferro
scala (in legno/ferro),legno e ferro
scanner,elettrodomestici RAEE
scarpa e ciabatta (in buono stato),contenitori stradali gialli CARITAS
scarto alimentare,umido
scarto di cucina,umido
scatola per pizza (pulita),carta e cartone
scatola per pizza (sporca),secco indifferenziato
scatolone in cartone,carta e cartone
schermo computer,elettrodomestici RAEE
sci,ingombranti
scontrino fiscale,secco indifferenziato
scopa,secco indifferenziato e/o ingombranti
scopino water,secco indifferenziato
scotch,secco indifferenziato
sdraio,ingombranti
secchiello in plastica,ingombranti
sedia in legno,legno e ferro
siringa,ditta specializzata
smalto,piazzola ecologica
solvente,piazzola ecologica
spazzola/spazzolino,secco indifferenziato
spazzolino elettrico,elettrodomestici RAEE
specchio,ingombranti
spugna,secco indifferenziato
stagnola,vetro e alluminio
stampante,elettrodomestici RAEE
stendino biancheria in plastica/metallo,ingombranti e/o legno e ferro
stereo,elettrodomestici RAEE
,
stoffa,secco indifferenziato
stoviglia,secco indifferenziato e/o ingombranti
straccio,secco indifferenziato
strumento musicale,ingombranti
stuzzicadenti,umido
sughero,umido
suola,secco indifferenziato
sveglia meccanica o elettrica,ingombranti e/o elettrodomestici RAEE
,
tagliere in legno,legno e ferro
tanica uso domestico in latta,vetro e alluminio
tanica uso domestico in plastica,plastica
tappeto,ingombranti
tappo in metallo e a corona,vetro e alluminio
tappo in plastica,plastica
tastiera per PC,elettrodomestici RAEE
telecomando,elettrodomestici RAEE
telefono,elettrodomestici RAEE
televisore,elettrodomestici RAEE
tende,ingombranti
terracotta,ingombranti
terriccio per piante,umido
tetrapak,secco indifferenziato
tintura per capelli,piazzola ecologica
toner,piazzola ecologica
tovaglia in carta bianca,carta e cartone
tovaglia in carta stampata,secco indifferenziato
tovagliolo in carta bianca,carta e cartone
tovagliolo in carta stampata,secco indifferenziato
trielina,piazzola ecologica
trucco,secco indifferenziato
tubetto colore,secco indifferenziato
tubetto dentifricio,secco indifferenziato
tubo in alluminio/ferro,legno e ferro
tubo in gomma/PVC,ingombranti
,
uncinetto,secco indifferenziato
unghia,umido
uova,umido
utensile bricolage,ingombranti
,
valigia,ingombranti
vaschetta per alimenti in latta,vetro e alluminio
vaschetta per alimenti in plastica,plastica
vaschetta portauova in carta,carta e cartone
vaso in plastica,secco indifferenziato
vaso in terracotta,ingombranti
vaso in vetro,vetro e alluminio
ventilatore,elettrodomestici RAEE
verdura,umido
vetro,vetro e alluminio
videocassetta,secco indifferenziato
videogame,elettrodomestici RAEE
videoregistratore,elettrodomestici RAEE
vite metallica,legno e ferro
volantino,carta e cartone
,
zaino,ingombranti
zanzariera,ingombranti
zucchero,umido
